time_stamp,sec_since_session_start,data,screen_position,__class__
2013-12-10 19:09:17,34,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1479.0, 581.0)",SelectNode
2013-12-10 19:09:17,34,,"(1479.0, 581.0)",StartTouch
2013-12-10 19:09:18,35,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1456.0, 557.0)",ReleaseNode
2013-12-10 19:09:19,36,,"(1770.0, 919.0)",EndTouch
2013-12-10 19:09:19,36,TurnOff,"(6.0, 4.0)",ToggleScoreCard
2013-12-10 19:09:27,44,,"(1677.0, 1420.0)",DismissScoreCard
2013-12-10 19:09:27,44,,"(1664.0, 1387.0)",EndTouch
2013-12-10 19:09:28,45,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1457.0, 510.0)",SelectNode
2013-12-10 19:09:28,45,,"(1457.0, 510.0)",StartTouch
2013-12-10 19:09:28,45,"[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]","(1038.0, 503.0)",ReleaseNode
2013-12-10 19:09:28,45,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=None, Color=Red]","(1545.0, 807.0)",SelectNode
2013-12-10 19:09:28,45,,"(1545.0, 807.0)",StartTouch
2013-12-10 19:09:29,46,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=None, Color=Red]","(1308.0, 807.0)",ReleaseNode
2013-12-10 19:09:30,47,"[ConnectorControl: Id=a0680763-cb61-41af-8cfc-ee10b84c593f, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Charge=Negative]","(1106.0, 579.0)",SelectConnector
2013-12-10 19:09:31,48,"[Connection: Id=d9b835a6-f181-4ebb-a8e2-8027f638259d, Source=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Destination=[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Charged, Color=Red]]","(1177.0, 655.0)",AddConnection
2013-12-10 19:09:31,48,"[ConnectorControl: Id=a0680763-cb61-41af-8cfc-ee10b84c593f, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Charge=Negative]","(1362.0, 714.0)",ReleaseConnector
2013-12-10 19:09:33,50,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=None, Color=Red]","(1472.0, 1036.0)",SelectNode
2013-12-10 19:09:33,50,,"(1472.0, 1036.0)",StartTouch
2013-12-10 19:09:34,51,"[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=None, Color=Red]","(1593.0, 1134.0)",ReleaseNode
2013-12-10 19:09:34,51,"[Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, From=Red, To=Blue]","(1312.0, 805.0)",ChangeLEDColor
2013-12-10 19:09:34,51,,"(1457.0, 753.0)",EndTouch
2013-12-10 19:09:36,53,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Charged, Color=Blue]","(1312.0, 805.0)",SelectNode
2013-12-10 19:09:36,53,,"(1312.0, 805.0)",StartTouch
2013-12-10 19:09:37,54,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Charged, Color=Blue]","(1341.0, 885.0)",ReleaseNode
2013-12-10 19:09:39,56,"[Connection: Id=d9b835a6-f181-4ebb-a8e2-8027f638259d, Source=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Destination=[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Charged, Color=Blue]]","(1190.0, 695.0)",RemoveConnection
2013-12-10 19:09:39,56,,"(1392.0, 669.0)",EndTouch
2013-12-10 19:09:42,59,"[ConnectorControl: Id=a0680763-cb61-41af-8cfc-ee10b84c593f, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Charge=Negative]","(1086.0, 577.0)",SelectConnector
2013-12-10 19:09:43,60,"[Connection: Id=2bfb4f32-d68f-441d-8e9b-adc134adc400, Source=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Destination=[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Charged, Color=Blue]]","(1190.0, 695.0)",AddConnection
2013-12-10 19:09:43,60,"[ConnectorControl: Id=a0680763-cb61-41af-8cfc-ee10b84c593f, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Charge=Negative]","(1383.0, 802.0)",ReleaseConnector
2013-12-10 19:09:44,61,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=None, Color=Red]","(1856.0, 632.0)",SelectNode
2013-12-10 19:09:44,61,,"(1856.0, 632.0)",StartTouch
2013-12-10 19:09:44,61,"[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=None, Color=Red]","(1632.0, 561.0)",ReleaseNode
2013-12-10 19:09:45,62,"[ConnectorControl: Id=1c059eaf-9ec2-49e0-9c18-2b5b4ec22305, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Charge=Positive]","(1006.0, 428.0)",SelectConnector
2013-12-10 19:09:48,65,"[Connection: Id=ec042cb7-b08e-447c-a758-5b0ced604cd4, Source=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Grounded, Color=Red], Destination=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None]]","(1334.0, 535.0)",AddConnection
2013-12-10 19:09:48,65,"[ConnectorControl: Id=1c059eaf-9ec2-49e0-9c18-2b5b4ec22305, Node=[BatteryNode: Id=d1de25b0-30e4-459f-9fce-8df14a0559ee, PowerState=None], Charge=Positive]","(1644.0, 462.0)",ReleaseConnector
2013-12-10 19:09:50,67,"[ConnectorControl: Id=344452c8-1864-4f6e-8c04-6c4b6c8d6266, Node=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Grounded, Color=Red], Charge=Positive]","(1640.0, 645.0)",SelectConnector
2013-12-10 19:09:51,68,"[Connection: Id=d7625e89-3b28-4f1c-a73d-5d04ad7e3ba7, Source=[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Grounded, Color=Red], Destination=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Grounded, Color=Red]]","(1609.0, 848.0)",AddConnection
2013-12-10 19:09:51,68,"[ConnectorControl: Id=344452c8-1864-4f6e-8c04-6c4b6c8d6266, Node=[LEDNode: Id=8a314d45-107a-407b-a50f-23bdade6a257, PowerState=Grounded, Color=Red], Charge=Positive]","(1691.0, 1138.0)",ReleaseConnector
2013-12-10 19:09:52,69,"[ConnectorControl: Id=52150dcb-e558-4bd6-9002-b9854ac6408c, Node=[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Grounded, Color=Red], Charge=Positive]","(1513.0, 1139.0)",SelectConnector
2013-12-10 19:09:53,70,"[Connection: Id=e14ff8e3-aaaf-487f-8387-cb8ea499994d, Source=[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue], Destination=[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Red]]","(1465.0, 1008.0)",AddConnection
2013-12-10 19:09:53,70,"[ConnectorControl: Id=52150dcb-e558-4bd6-9002-b9854ac6408c, Node=[LEDNode: Id=0e5b7079-b5bc-40a2-bb16-eda44e4de35e, PowerState=Active, Color=Red], Charge=Positive]","(1296.0, 957.0)",ReleaseConnector
2013-12-10 19:10:02,79,,"(1522.0, 935.0)",EndTouch
2013-12-10 19:10:02,79,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue]","(1362.0, 873.0)",SelectNode
2013-12-10 19:10:02,79,,"(1362.0, 873.0)",StartTouch
2013-12-10 19:10:05,82,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue]","(422.0, 791.0)",ReleaseNode
2013-12-10 19:10:05,82,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue]","(408.0, 776.0)",SelectNode
2013-12-10 19:10:05,82,,"(408.0, 776.0)",StartTouch
2013-12-10 19:10:06,83,"[LEDNode: Id=a151a6f9-bb23-41a0-b3a2-b33509d1cc19, PowerState=Active, Color=Blue]","(855.0, 866.0)",ReleaseNode
