2013-12-10 19:08:50,6,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1725.0, 736.0)",MoveNode
2013-12-10 19:08:50,6,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1720.0, 737.0)",MoveNode
2013-12-10 19:09:00,16,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(1375.0, 212.0)",MoveNode
2013-12-10 19:09:05,21,"[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red]","(237.0, 302.0)",MoveNode
2013-12-10 19:09:08,24,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(940.0, 318.0)",MoveNode
2013-12-10 19:09:10,26,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1052.0, 806.0)",MoveNode
2013-12-10 19:09:13,29,"[Connection: Id=618d3508-665e-4ff2-a9dc-4ddfa9c7975e, Source=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red], Destination=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active]]","(1317.0, 875.0)",RemoveConnection
2013-12-10 19:09:14,30,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(665.0, 300.0)",MoveNode
2013-12-10 19:09:17,33,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Red]","(1803.0, 1006.0)",MoveNode
2013-12-10 19:09:22,38,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Red, To=Green]","(1229.0, 817.0)",ChangeLEDColor
2013-12-10 19:09:23,39,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(1112.0, 370.0)",MoveNode
2013-12-10 19:09:25,41,"[Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, From=Red, To=Green]","(1160.0, 344.0)",ChangeLEDColor
2013-12-10 19:09:26,42,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]","(1201.0, 391.0)",MoveNode
2013-12-10 19:09:29,45,TurnOff,"(6.0, 4.0)",ToggleJournal
2013-12-10 19:09:33,49,,"(1677.0, 1420.0)",ToggleJournal
2013-12-10 19:09:34,50,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]","(1088.0, 609.0)",MoveNode
2013-12-10 19:09:36,52,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Green]","(1235.0, 801.0)",MoveNode
2013-12-10 19:09:39,55,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Green]","(1167.0, 821.0)",MoveNode
2013-12-10 19:09:40,56,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Green, To=Red]","(1215.0, 900.0)",ChangeLEDColor
2013-12-10 19:09:41,57,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Red]","(1258.0, 837.0)",MoveNode
2013-12-10 19:09:49,65,"[Connection: Id=2f023373-573d-41d9-b8c3-181a1f2b35e2, Source=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Red], Destination=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Charged, Color=Green]]","(1176.0, 678.0)",AddConnection
2013-12-10 19:09:50,66,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Charged, Color=Green]","(1021.0, 499.0)",MoveNode
2013-12-10 19:09:51,67,"[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red]","(550.0, 520.0)",MoveNode
2013-12-10 19:09:54,70,"[Connection: Id=4b0cbd8a-9bcd-4989-8c5f-4ca57b34690f, Source=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Charged, Color=Green], Destination=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=Charged, Color=Red]]","(902.0, 510.0)",AddConnection
2013-12-10 19:10:03,79,"[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=Charged, Color=Red]","(811.0, 562.0)",MoveNode
2013-12-10 19:10:06,82,"[Connection: Id=2f023373-573d-41d9-b8c3-181a1f2b35e2, Source=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Red], Destination=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Charged, Color=Green]]","(1157.0, 661.0)",RemoveConnection
2013-12-10 19:10:06,82,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]","(1122.0, 520.0)",MoveNode
2013-12-10 19:10:09,85,"[Connection: Id=3968fdd5-854f-4fea-92a9-cba863dd4194, Source=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red], Destination=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active]]","(1045.0, 832.0)",AddConnection
2013-12-10 19:10:10,86,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1273.0, 837.0)",MoveNode
2013-12-10 19:10:12,88,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1498.0, 706.0)",MoveNode
2013-12-10 19:10:14,90,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1384.0, 690.0)",MoveNode
2013-12-10 19:10:19,95,"[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red]","(810.0, 579.0)",MoveNode
2013-12-10 19:10:20,96,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(888.0, 847.0)",MoveNode
2013-12-10 19:10:23,99,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]","(986.0, 395.0)",MoveNode
2013-12-10 19:10:27,103,"[Connection: Id=238fc9b5-3bbd-41f7-8e76-f228066b229f, Source=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red], Destination=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]]","(681.0, 300.0)",AddConnection
2013-12-10 19:10:28,104,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]","(743.0, 153.0)",MoveNode
2013-12-10 19:10:32,108,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]","(730.0, 311.0)",MoveNode
2013-12-10 19:10:36,112,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]","(1038.0, 277.0)",MoveNode
2013-12-10 19:10:36,112,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(792.0, 788.0)",MoveNode
2013-12-10 19:10:41,117,"[Connection: Id=86ac6b5b-c0d1-405a-9c3f-ac0719b42b3e, Source=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active], Destination=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]]","(760.0, 739.0)",RemoveConnection
2013-12-10 19:10:42,118,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Grounded, Color=Red]","(893.0, 783.0)",MoveNode
2013-12-10 19:10:43,119,"[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=None]","(668.0, 717.0)",MoveNode
2013-12-10 19:10:44,120,"[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=None]","(1074.0, 619.0)",MoveNode
2013-12-10 19:10:45,121,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Grounded, Color=Red]","(884.0, 805.0)",MoveNode
2013-12-10 19:10:48,124,"[Connection: Id=1078592e-7eb7-42b6-969c-5a99cf2ddd94, Source=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active], Destination=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]]","(913.0, 1084.0)",AddConnection
2013-12-10 19:10:50,126,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Red, To=Blue]","(1018.0, 1133.0)",ChangeLEDColor
2013-12-10 19:10:51,127,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Blue, To=Red]","(1018.0, 1133.0)",ChangeLEDColor
2013-12-10 19:11:00,136,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]","(1143.0, 316.0)",MoveNode
2013-12-10 19:11:10,146,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]","(828.0, 205.0)",MoveNode
2013-12-10 19:11:14,150,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Red, To=Green]","(1018.0, 1133.0)",ChangeLEDColor
2013-12-10 19:11:18,154,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Green, To=Red]","(1018.0, 1133.0)",ChangeLEDColor
2013-12-10 19:11:26,162,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Red, To=Green]","(1018.0, 1133.0)",ChangeLEDColor
2013-12-10 19:11:29,165,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Green, To=Blue]","(1018.0, 1133.0)",ChangeLEDColor
2013-12-10 19:11:32,168,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Blue, To=Green]","(1018.0, 1133.0)",ChangeLEDColor
2013-12-10 19:11:35,171,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Green, To=Blue]","(1018.0, 1133.0)",ChangeLEDColor
2013-12-10 19:11:46,182,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Blue, To=Red]","(1018.0, 1133.0)",ChangeLEDColor
2013-12-10 19:11:48,184,"[Connection: Id=3968fdd5-854f-4fea-92a9-cba863dd4194, Source=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red], Destination=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active]]","(913.0, 1084.0)",RemoveConnection
2013-12-10 19:11:48,184,"[Connection: Id=1078592e-7eb7-42b6-969c-5a99cf2ddd94, Source=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=None], Destination=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Red]]","(913.0, 1084.0)",RemoveConnection
2013-12-10 19:11:48,184,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Red, To=Blue]","(1018.0, 1133.0)",ChangeLEDColor
2013-12-10 19:11:49,185,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=None, Color=Blue]","(1034.0, 1145.0)",MoveNode
2013-12-10 19:11:50,186,"[Connection: Id=d9a2f6f3-4e55-4817-a559-46344575d959, Source=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Grounded, Color=Blue], Destination=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=None]]","(913.0, 1084.0)",AddConnection
2013-12-10 19:11:52,188,"[Connection: Id=2974cbe7-e257-4fa0-a9aa-b908a02f48b1, Source=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active], Destination=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Blue]]","(913.0, 1084.0)",AddConnection
2013-12-10 19:11:54,190,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]","(875.0, 156.0)",MoveNode
2013-12-10 19:11:54,190,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]","(870.0, 160.0)",MoveNode
2013-12-10 19:11:58,194,"[Connection: Id=77aae0e3-45cf-4755-9049-7455f8fcc122, Source=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Blue], Destination=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Charged, Color=Green]]","(1113.0, 896.0)",AddConnection
2013-12-10 19:12:00,196,"[Connection: Id=5ec551f2-0c0a-48bd-a3b3-df16c65b736b, Source=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Active, Color=Green], Destination=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active]]","(1008.0, 847.0)",AddConnection
2013-12-10 19:12:03,199,"[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=Active, Color=Red]","(606.0, 456.0)",MoveNode
2013-12-10 19:12:20,216,"[Connection: Id=4b0cbd8a-9bcd-4989-8c5f-4ca57b34690f, Source=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Active, Color=Green], Destination=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=Active, Color=Red]]","(939.0, 701.0)",RemoveConnection
2013-12-10 19:12:20,216,"[Connection: Id=238fc9b5-3bbd-41f7-8e76-f228066b229f, Source=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=Grounded, Color=Red], Destination=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Active, Color=Green]]","(939.0, 701.0)",RemoveConnection
2013-12-10 19:12:20,216,"[Connection: Id=5ec551f2-0c0a-48bd-a3b3-df16c65b736b, Source=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Active, Color=Green], Destination=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active]]","(1008.0, 847.0)",RemoveConnection
2013-12-10 19:12:23,219,"[Connection: Id=77aae0e3-45cf-4755-9049-7455f8fcc122, Source=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Blue], Destination=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Charged, Color=Green]]","(1113.0, 896.0)",RemoveConnection
2013-12-10 19:12:25,221,"[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red]","(728.0, 783.0)",MoveNode
2013-12-10 19:12:27,223,"[Connection: Id=e3bdcb12-1f1b-46bd-86d8-edec7f04c7cd, Source=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red], Destination=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green]]","(1032.0, 714.0)",AddConnection
2013-12-10 19:12:29,225,"[Connection: Id=973b59ed-2f8f-4889-9b55-ac83a791dab8, Source=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Green], Destination=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red]]","(1032.0, 714.0)",AddConnection
2013-12-10 19:12:31,227,"[Connection: Id=674dd73d-7f39-4793-b425-57b431d5fbc7, Source=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Blue], Destination=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Charged, Color=Green]]","(1113.0, 896.0)",AddConnection
2013-12-10 19:12:31,227,"[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active]","(840.0, 970.0)",MoveNode
2013-12-10 19:12:34,230,"[Connection: Id=c01e6c35-1d26-4a09-8249-5510fbb77872, Source=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Active, Color=Green], Destination=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active]]","(1022.0, 823.0)",AddConnection
2013-12-10 19:12:36,232,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Active, Color=Green]","(1239.0, 671.0)",MoveNode
2013-12-10 19:12:38,234,"[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active]","(863.0, 1000.0)",MoveNode
2013-12-10 19:12:42,238,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Blue]","(1116.0, 1163.0)",MoveNode
2013-12-10 19:12:43,239,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Blue]","(1043.0, 1124.0)",MoveNode
2013-12-10 19:12:45,241,"[Connection: Id=2974cbe7-e257-4fa0-a9aa-b908a02f48b1, Source=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active], Destination=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Blue]]","(894.0, 1043.0)",RemoveConnection
2013-12-10 19:12:47,243,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Grounded, Color=Blue]","(981.0, 1055.0)",MoveNode
2013-12-10 19:12:50,246,"[Connection: Id=0fb24e48-dfb0-4780-be60-6e62e89a8c18, Source=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Grounded, Color=Green], Destination=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Grounded, Color=Blue]]","(1108.0, 907.0)",AddConnection
2013-12-10 19:12:53,249,"[Connection: Id=3e990daf-b0d6-41d3-8b4c-18c8eaefbbed, Source=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active], Destination=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Blue]]","(945.0, 1043.0)",AddConnection
2013-12-10 19:12:57,253,"[Connection: Id=452e2e61-6ae4-46ae-a5b1-91e5b6d0edad, Source=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active], Destination=[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Active, Color=Green]]","(954.0, 901.0)",AddConnection
2013-12-10 19:13:04,260,"[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=Active, Color=Red]","(752.0, 713.0)",MoveNode
2013-12-10 19:13:08,264,"[Connection: Id=33e7105d-cf63-4a8b-b630-983f2a107cca, Source=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active], Destination=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=Active, Color=Red]]","(800.0, 940.0)",AddConnection
2013-12-10 19:13:11,267,"[Connection: Id=4172798a-5901-4d3f-b3ea-f5800387008b, Source=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=Active, Color=Red], Destination=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Blue]]","(962.0, 905.0)",AddConnection
2013-12-10 19:13:17,273,TurnOff,"(6.0, 4.0)",ToggleJournal
2013-12-10 19:13:23,279,,"(1677.0, 1420.0)",ToggleJournal
2013-12-10 19:13:26,282,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=Active, Color=Green]","(1135.0, 807.0)",MoveNode
2013-12-10 19:13:27,283,"[Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, From=Green, To=Red]","(1203.0, 772.0)",ChangeLEDColor
2013-12-10 19:13:30,286,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Blue, To=Red]","(1099.0, 1050.0)",ChangeLEDColor
2013-12-10 19:13:33,289,"[Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, From=Red, To=Blue]","(825.0, 759.0)",ChangeLEDColor
2013-12-10 19:13:33,289,"[Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, From=Red, To=Blue]","(1203.0, 772.0)",ChangeLEDColor
2013-12-10 19:13:36,292,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Red, To=Blue]","(1099.0, 1050.0)",ChangeLEDColor
2013-12-10 19:13:39,295,TurnOff,"(6.0, 4.0)",ToggleJournal
