time_stamp,sec_since_session_start,data,screen_position,__class__
2013-12-10 19:08:50,6,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1725.0, 736.0)",SelectNode
2013-12-10 19:08:50,6,,"(1725.0, 736.0)",StartTouch
2013-12-10 19:08:50,6,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1723.0, 739.0)",ReleaseNode
2013-12-10 19:08:50,6,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1720.0, 737.0)",SelectNode
2013-12-10 19:08:50,6,,"(1720.0, 737.0)",StartTouch
2013-12-10 19:08:59,15,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1038.0, 779.0)",ReleaseNode
2013-12-10 19:09:00,16,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(1375.0, 212.0)",SelectNode
2013-12-10 19:09:00,16,,"(1375.0, 212.0)",StartTouch
2013-12-10 19:09:05,21,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(927.0, 327.0)",ReleaseNode
2013-12-10 19:09:05,21,"[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red]","(237.0, 302.0)",SelectNode
2013-12-10 19:09:05,21,,"(237.0, 302.0)",StartTouch
2013-12-10 19:09:06,22,"[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red]","(619.0, 531.0)",ReleaseNode
2013-12-10 19:09:06,22,"[ConnectorControl: Id=bd66a6c1-ad37-4fda-8682-3d2e535e703a, Node=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red], Charge=Positive]","(516.0, 548.0)",SelectConnector
2013-12-10 19:09:06,22,"[ConnectorControl: Id=bd66a6c1-ad37-4fda-8682-3d2e535e703a, Node=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red], Charge=Positive]","(518.0, 549.0)",ReleaseConnector
2013-12-10 19:09:07,23,"[ConnectorControl: Id=bd66a6c1-ad37-4fda-8682-3d2e535e703a, Node=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red], Charge=Positive]","(541.0, 546.0)",SelectConnector
2013-12-10 19:09:07,23,"[ConnectorControl: Id=bd66a6c1-ad37-4fda-8682-3d2e535e703a, Node=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red], Charge=Positive]","(549.0, 555.0)",ReleaseConnector
2013-12-10 19:09:07,23,"[ConnectorControl: Id=bd66a6c1-ad37-4fda-8682-3d2e535e703a, Node=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red], Charge=Positive]","(541.0, 549.0)",SelectConnector
2013-12-10 19:09:07,23,"[ConnectorControl: Id=bd66a6c1-ad37-4fda-8682-3d2e535e703a, Node=[LEDNode: Id=07ef53f3-d175-467c-8f75-0a17f1b2ed85, PowerState=None, Color=Red], Charge=Positive]","(546.0, 553.0)",ReleaseConnector
2013-12-10 19:09:08,24,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(940.0, 318.0)",SelectNode
2013-12-10 19:09:08,24,,"(940.0, 318.0)",StartTouch
2013-12-10 19:09:09,25,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(641.0, 272.0)",ReleaseNode
2013-12-10 19:09:10,26,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1052.0, 806.0)",SelectNode
2013-12-10 19:09:10,26,,"(1052.0, 806.0)",StartTouch
2013-12-10 19:09:12,28,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red]","(1803.0, 990.0)",ReleaseNode
2013-12-10 19:09:13,29,"[Connection: Id=618d3508-665e-4ff2-a9dc-4ddfa9c7975e, Source=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Active, Color=Red], Destination=[BatteryNode: Id=0d9f2b54-dab0-4c72-a7ac-943b1fc3b4d6, PowerState=Active]]","(1317.0, 875.0)",RemoveConnection
2013-12-10 19:09:13,29,,"(1150.0, 680.0)",EndTouch
2013-12-10 19:09:14,30,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(665.0, 300.0)",SelectNode
2013-12-10 19:09:14,30,,"(665.0, 300.0)",StartTouch
2013-12-10 19:09:14,30,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(1045.0, 352.0)",ReleaseNode
2013-12-10 19:09:16,32,"[ConnectorControl: Id=7e2c75ba-869a-4377-9918-a06385d740b6, Node=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Red], Charge=Negative]","(1851.0, 917.0)",SelectConnector
2013-12-10 19:09:16,32,"[ConnectorControl: Id=7e2c75ba-869a-4377-9918-a06385d740b6, Node=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Red], Charge=Negative]","(1849.0, 908.0)",ReleaseConnector
2013-12-10 19:09:17,33,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Red]","(1803.0, 1006.0)",SelectNode
2013-12-10 19:09:17,33,,"(1803.0, 1006.0)",StartTouch
2013-12-10 19:09:19,35,"[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Red]","(1233.0, 812.0)",ReleaseNode
2013-12-10 19:09:20,36,"[ConnectorControl: Id=7e2c75ba-869a-4377-9918-a06385d740b6, Node=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Red], Charge=Negative]","(1267.0, 746.0)",SelectConnector
2013-12-10 19:09:20,36,"[ConnectorControl: Id=7e2c75ba-869a-4377-9918-a06385d740b6, Node=[LEDNode: Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, PowerState=Charged, Color=Red], Charge=Negative]","(1268.0, 746.0)",ReleaseConnector
2013-12-10 19:09:21,37,,"(1186.0, 671.0)",EndTouch
2013-12-10 19:09:22,38,"[Id=4d5f0240-a08d-4e82-ad3c-9172cb3d47f1, From=Red, To=Green]","(1229.0, 817.0)",ChangeLEDColor
2013-12-10 19:09:22,38,,"(1118.0, 770.0)",EndTouch
2013-12-10 19:09:23,39,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(1112.0, 370.0)",SelectNode
2013-12-10 19:09:23,39,,"(1112.0, 370.0)",StartTouch
2013-12-10 19:09:24,40,"[LEDNode: Id=6af0b4c2-0d50-4b2e-8669-dd9ca1264613, PowerState=None, Color=Red]","(1157.0, 347.0)",ReleaseNode
